LOCATION,SEASON,BLOCK,IRGC NO,DTF,PH,NPT,PL,PY,GYKGPHA
Loc01,WS2020,1,BPT 5204,115,66.6,9.4,19.68,91,1635.834667
Loc01,WS2020,1,IRGC 121103,98,89.02,4.6,21.82,430,1791.666667
Loc01,WS2020,1,IRGC 121154,93,100.72,7,25.38,280,1166.666667
Loc01,WS2020,1,IRGC 121316,93,124.96,10.4,23.3,453,1887.5
Loc01,WS2020,1,IRGC 121441,100,153.86,8.6,26.24,601,2504.166667
Loc01,WS2020,1,IRGC 121474,89,67,6.6,18.12,147,612.5
Loc01,WS2020,1,IRGC 122089,100,61.18,9.2,19.52,101,420.8333333
Loc01,WS2020,1,IRGC 122140,109,62.57,8.2,19.44,105,437.5
Loc01,WS2020,1,IRGC 125581,105,129.14,7.6,26,234,975
Loc01,WS2020,1,IRGC 125637,94,108.98,6.6,25.28,340,1416.666667
Loc01,WS2020,1,IRGC 125644,94,118.3,6.8,27.2,279,1162.5
Loc01,WS2020,1,IRGC 125647,103,115.84,6.6,26.32,332,1383.333333
Loc01,WS2020,1,IRGC 125657,98,109.4,8.2,23.56,299,1245.833333
Loc01,WS2020,1,IRGC 125765,93,109.38,5.4,25.88,340,1416.666667
Loc01,WS2020,1,IRGC 125800,102,73.14,7.6,21.86,288,1200
Loc01,WS2020,1,IRGC 125867,120,114.64,4.2,27.58,38,158.3333333
Loc01,WS2020,1,IRGC 125897,91,110.46,8.2,22.04,520,2166.666667
Loc01,WS2020,1,IRGC 125956,102,67.7,7.2,20.56,109,454.1666667
Loc01,WS2020,1,IRGC 126062,97,79.88,10.8,22.14,74,308.3333333
Loc01,WS2020,1,IRGC 126123,93,109.06,7.8,25.56,310,1291.666667
Loc01,WS2020,1,IRGC 126961,104,85.04,5.6,23.26,170,708.3333333
Loc01,WS2020,1,IRGC 126979,115,152.38,8.2,25.66,366,1525
Loc01,WS2020,1,IRGC 127060,109,97.48,3.2,23.74,47,195.8333333
Loc01,WS2020,1,IRGC 127100,94,68.64,9.4,21.06,305,1270.833333
Loc01,WS2020,1,IRGC 127145,90,95.62,5.8,23.54,88,366.6666667
Loc01,WS2020,1,IRGC 127231,100,127.8,9.2,27.4,602,2508.333333
Loc01,WS2020,1,IRGC 127233,93,156.14,5.2,26.64,540,2250
Loc01,WS2020,1,IRGC 127305,115,68.8,9.4,22.42,345,1437.5
Loc01,WS2020,1,IRGC 127333,98,94.54,6.2,23.38,69,287.5
Loc01,WS2020,1,IRGC 127411,112,85.16,4.2,20.6,40,180
Loc01,WS2020,1,IRGC 127444,94,126.38,5,24.4,461,1920.833333
Loc01,WS2020,1,IRGC 127484,109,106.1,7.6,22.9,453,1887.5
Loc01,WS2020,1,IRGC 127556,101,110.68,5.2,22.54,210,875
Loc01,WS2020,1,IRGC 127713,91,152.68,8,23.66,249,1037.5
Loc01,WS2020,1,IRGC 127743,116,119.26,9.6,25.88,215,895.8333333
Loc01,WS2020,1,IRGC 127782,110,94.54,5.8,24.16,59,245.8333333
Loc01,WS2020,1,IRGC 127852,93,67.12,7.4,19.8,255,1062.5
Loc01,WS2020,1,IRGC 127907,98,76.98,10.2,20.42,400,1666.666667
Loc01,WS2020,1,IRGC 128013,103,93.68,8.2,21.4,245,1020.833333
Loc01,WS2020,1,IRGC 128074,110,99.5,5.8,26.42,57,237.5
Loc01,WS2020,1,IRGC 128089,102,100.52,7.2,24.82,367,1529.166667
Loc01,WS2020,1,IRGC 128105,119,100.82,9.6,21.14,83,345.8333333
Loc01,WS2020,1,IRGC 128109,100,95.82,4.4,22,56,233.3333333
Loc01,WS2020,1,IRGC 128110,120,132.74,9,22.62,553,2304.166667
Loc01,WS2020,1,IRGC 128116,123,108.98,8.2,20.72,111,462.5
Loc01,WS2020,1,IRGC 128171,94,90.02,6.6,20.26,398,1658.333333
Loc01,WS2020,1,IRGC 128174,99,118.54,8.2,26.44,417,1737.5
Loc01,WS2020,1,IRGC 128183,122,114.22,7.2,22.48,50,208.3333333
Loc01,WS2020,1,IRGC 128202,122,127.26,7.4,25.6,390,1625
Loc01,WS2020,1,IRGC 128224,105,99.36,9,23.12,24,100
Loc01,WS2020,1,IRGC 128264,93,103.22,5.6,22.46,49,204.1666667
Loc01,WS2020,1,IRGC 128496,103,124.88,8.4,25.24,271,1129.166667
Loc01,WS2020,1,IRGC 128523,101,94.84,6.2,27.92,150,625
Loc01,WS2020,1,IRGC 128535,104,145.82,10,24.72,644,2683.333333
Loc01,WS2020,1,IRGC 131928,103,124.38,8.2,28.7,400,1666.666667
Loc01,WS2020,1,IRGC 132035,102,138.8,7,21.68,364,1516.666667
Loc01,WS2020,1,IRGC 132252,94,102.52,6.2,22.8,450,1875
Loc01,WS2020,1,IRGC 132254,93,110.3,10.6,21.14,480,2000
Loc01,WS2020,1,IRGC 132358,93,125.58,5.6,23.44,480,2000
Loc01,WS2020,1,IRGC 132402,114,150.08,10,24.42,139,579.1666667
Loc01,WS2020,1,IRGC 132415,91,134.18,5.8,26.72,71,295.8333333
Loc01,WS2020,1,IRRI 123,93,85.48,8.6,22.68,435,1812.5
Loc01,WS2020,1,Local Check-1,91,97.2,6.8,23.54,410,1708.333333
Loc01,WS2020,1,Local Check-2,93,86.24,6,19.14,165,687.5
Loc01,WS2020,1,MTU 1010,89,86.14,6.8,21.5,430,1791.666667
Loc01,WS2020,1,Sahabagidhan,93,104.2,5.6,21.16,284,1183.333333
Loc01,WS2020,1,Sahabagidhan,91,129.4,6.4,23.76,131,545.8333333
Loc01,WS2020,1,Swarna,117,83.54,15.6,21.52,260,1083.333333
Loc01,WS2020,2,BPT 5204,105,71.18,9.4,26.42,350,1458.333333
Loc01,WS2020,2,IR 64,89,77.26,5.6,26.48,198,1889.584444
Loc01,WS2020,2,IRGC 121342,96,100.46,6.8,28.34,125,520.8333333
Loc01,WS2020,2,IRGC 122292,98,109.2,11.8,22.76,204,850
Loc01,WS2020,2,IRGC 125684,98,120.7,9.6,28.12,485,2020.833333
Loc01,WS2020,2,IRGC 125766,88,109.72,7.4,21.52,351,1462.5
Loc01,WS2020,2,IRGC 125880,103,112.92,9.4,26.32,453,1887.5
Loc01,WS2020,2,IRGC 125953,92,123.24,8,28.52,650,2708.333333
Loc01,WS2020,2,IRGC 125966,95,76.76,7.2,29.42,474,1975
Loc01,WS2020,2,IRGC 125972,89,98.82,11.8,23.9,630,2625
Loc01,WS2020,2,IRGC 125979,91,70.92,5.2,17.32,25,104.1666667
Loc01,WS2020,2,IRGC 126162,120,131.36,7,22.86,458,1908.333333
Loc01,WS2020,2,IRGC 126170,93,129,7.8,23.06,584,2433.333333
Loc01,WS2020,2,IRGC 126966,100,73.04,10.2,24.6,815,3395.833333
Loc01,WS2020,2,IRGC 127001,94,146.64,6.8,28.22,79,329.1666667
Loc01,WS2020,2,IRGC 127102,96,89.08,7.4,25.42,258,1075
Loc01,WS2020,2,IRGC 127106,103,125.78,10.6,21.84,277,1154.166667
Loc01,WS2020,2,IRGC 127107,110,93.46,7.4,22.98,209,870.8333333
Loc01,WS2020,2,IRGC 127129,92,130.7,11.2,25.14,340,1416.666667
Loc01,WS2020,2,IRGC 127251,100,132.02,8.8,25.58,404,1683.333333
Loc01,WS2020,2,IRGC 127256,93,74.06,8.6,24,209,870.8333333
Loc01,WS2020,2,IRGC 127281,92,126.06,4.8,22.62,297,1237.5
Loc01,WS2020,2,IRGC 127301,87,123.5,8.8,28.86,420,1750
Loc01,WS2020,2,IRGC 127434,90,86.64,6.8,23.56,453,1887.5
Loc01,WS2020,2,IRGC 127447,93,120.34,8.4,27.14,668,2783.333333
Loc01,WS2020,2,IRGC 127454,91,78.34,8,25.5,308,1283.333333
Loc01,WS2020,2,IRGC 127537,91,124.36,8.2,22.82,633,2637.5
Loc01,WS2020,2,IRGC 127563,95,120.1,9.6,27.96,673,2804.166667
Loc01,WS2020,2,IRGC 127631,104,141.28,6.6,27.16,277,1154.166667
Loc01,WS2020,2,IRGC 127634,91,132.86,6.6,21.84,683,2845.833333
Loc01,WS2020,2,IRGC 127650,89,125.14,12.4,28.14,602,2508.333333
Loc01,WS2020,2,IRGC 127689,93,129.9,8.2,27.5,672,2800
Loc01,WS2020,2,IRGC 127745,93,110.68,6.2,26.52,420,1750
Loc01,WS2020,2,IRGC 127822,84,138.98,5.6,27.3,430,1791.666667
Loc01,WS2020,2,IRGC 127848,93,102.44,8.4,22.1,460,1916.666667
Loc01,WS2020,2,IRGC 127901,90,159.74,6.2,26.28,410,1708.333333
Loc01,WS2020,2,IRGC 127929,93,132.56,6.8,26.98,500,2083.333333
Loc01,WS2020,2,IRGC 127964,93,103.78,6.4,22.9,152,633.3333333
Loc01,WS2020,2,IRGC 127974,105,124.3,11.6,24.42,520,2166.666667
Loc01,WS2020,2,IRGC 128000,98,104.52,8,21.88,270,1125
Loc01,WS2020,2,IRGC 128044,99,110.1,12,25.54,336,1400
Loc01,WS2020,2,IRGC 128047,98,131.42,8.2,23.2,180,750
Loc01,WS2020,2,IRGC 128072,89,110.88,9.8,26.36,417,1737.5
Loc01,WS2020,2,IRGC 128091,99,145.74,10.6,22.18,365,1520.833333
Loc01,WS2020,2,IRGC 128098,103,132.38,10,23.78,609,2537.5
Loc01,WS2020,2,IRGC 128156,93,120.32,4.8,29.24,325,1354.166667
Loc01,WS2020,2,IRGC 128157,89,107.4,6.4,23.24,59,245.8333333
Loc01,WS2020,2,IRGC 128223,98,105.6,12.4,28.94,43,179.1666667
Loc01,WS2020,2,IRGC 128252,92,80.14,3.8,17.08,59,245.8333333
Loc01,WS2020,2,IRGC 128439,117,137.5,8.6,28.42,141,587.5
Loc01,WS2020,2,IRGC 128483,91,121.08,6.2,23.32,257,1070.833333
Loc01,WS2020,2,IRGC 131972,93,111.22,5.8,22.78,56,233.3333333
Loc01,WS2020,2,IRGC 132267,124,177.1,4.2,24.08,43,179.1666667
Loc01,WS2020,2,IRGC 132291,100,102.8,8,22.1,29,120.8333333
Loc01,WS2020,2,IRGC 132316,98,126.38,12.6,23.18,725,3020.833333
Loc01,WS2020,2,IRGC 132359,116,81.74,7.6,21.08,614,2558.333333
Loc01,WS2020,2,IRGC 132364,104,136.1,6.6,28.14,830,3458.333333
Loc01,WS2020,2,IRGC 132371,93,88.26,8.6,25.14,376,1566.666667
Loc01,WS2020,2,IRGC 132424,93,99.82,6,23.68,204,850
Loc01,WS2020,2,IRGC 135569,91,130.06,4.2,27.48,9,37.5
Loc01,WS2020,2,IRRI 123,91,85.46,8.6,22.04,585,2437.5
Loc01,WS2020,2,Local Check-1,89,88.98,7.2,24.62,296,1233.333333
Loc01,WS2020,2,Local Check-1,92,103.36,7.6,24.2,430,1791.666667
Loc01,WS2020,2,Sahabagidhan,94,98.46,6,22.96,104,433.3333333
Loc01,WS2020,2,Swarna,105,73.38,13.6,22.76,673,2804.166667
Loc01,WS2020,3,BPT 5204,110,69.96,9.8,20.94,216,1783.0016
Loc01,WS2020,3,IRGC 122029,89,119.06,6.6,25.46,428,1783.333333
Loc01,WS2020,3,IRGC 122098,87,118.1,6.2,23.98,619,2579.166667
Loc01,WS2020,3,IRGC 122120,88,118.06,8,22.66,32,133.3333333
Loc01,WS2020,3,IRGC 124442,103,150.42,8,27.2,472,1966.666667
Loc01,WS2020,3,IRGC 125648,94,108.1,11.8,29.2,252,1050
Loc01,WS2020,3,IRGC 125664,100,135.98,8.4,22.04,275,1145.833333
Loc01,WS2020,3,IRGC 125705,102,131.34,10.4,26.42,678,2825
Loc01,WS2020,3,IRGC 125802,90,139.14,9,24.06,521,2170.833333
Loc01,WS2020,3,IRGC 125804,97,115,9.8,23.06,328,1366.666667
Loc01,WS2020,3,IRGC 125850,103,129.86,12,23.56,764,3183.333333
Loc01,WS2020,3,IRGC 125859,86,68.08,5.6,26.84,175,729.1666667
Loc01,WS2020,3,IRGC 125869,93,121.14,9.4,24.54,639,2662.5
Loc01,WS2020,3,IRGC 125873,89,90.26,5.4,24.14,330,1375
Loc01,WS2020,3,IRGC 125887,96,106.74,6.2,24.86,478,1991.666667
Loc01,WS2020,3,IRGC 125890,97,70.16,7,23.6,397,1654.166667
Loc01,WS2020,3,IRGC 125949,88,105.58,8.2,25.92,425,1770.833333
Loc01,WS2020,3,IRGC 125959,82,151.68,9,26.38,162,675
Loc01,WS2020,3,IRGC 125970,88,108.44,6.2,28.06,155,645.8333333
Loc01,WS2020,3,IRGC 125990,87,85.96,6.2,23.8,399,1662.5
Loc01,WS2020,3,IRGC 126085,87,71.12,7.2,23.54,154,641.6666667
Loc01,WS2020,3,IRGC 126150,100,128.58,6.2,23.98,816,3400
Loc01,WS2020,3,IRGC 126158,98,90.42,6.6,22.02,143,595.8333333
Loc01,WS2020,3,IRGC 127040,94,133.18,9,23.68,97,404.1666667
Loc01,WS2020,3,IRGC 127096,96,131.82,10.2,24.72,452,1883.333333
Loc01,WS2020,3,IRGC 127351,89,141.32,6.4,26.56,584,2433.333333
Loc01,WS2020,3,IRGC 127443,121,146.56,10.6,23.68,166,691.6666667
Loc01,WS2020,3,IRGC 127469,88,140.98,10.2,21.5,450,1875
Loc01,WS2020,3,IRGC 127481,84,119.46,5.6,24.04,156,650
Loc01,WS2020,3,IRGC 127614,91,130.04,7.8,28.14,470,1958.333333
Loc01,WS2020,3,IRGC 127684,97,150.82,10.6,27.62,600,2500
Loc01,WS2020,3,IRGC 127849,103,141.24,6.8,23.42,374,1558.333333
Loc01,WS2020,3,IRGC 127869,84,139.56,8.2,22.22,521,2170.833333
Loc01,WS2020,3,IRGC 127884,92,150.04,7.2,19.32,395,1645.833333
Loc01,WS2020,3,IRGC 127932,89,137.68,6.8,22.68,536,2233.333333
Loc01,WS2020,3,IRGC 127933,90,146.26,6.2,27.28,244,1016.666667
Loc01,WS2020,3,IRGC 127943,89,140.38,5.2,23.04,552,2300
Loc01,WS2020,3,IRGC 127963,100,107.02,7,24.02,162,675
Loc01,WS2020,3,IRGC 127968,81,140.04,5,26.52,318,1325
Loc01,WS2020,3,IRGC 127975,96,128.08,7.4,25.96,701,2920.833333
Loc01,WS2020,3,IRGC 128020,94,67.04,8.8,24.54,219,912.5
Loc01,WS2020,3,IRGC 128025,116,132.54,9.8,23.48,212,883.3333333
Loc01,WS2020,3,IRGC 128040,94,131.86,5.6,28.28,420,1750
Loc01,WS2020,3,IRGC 128051,108,138.28,11.2,25.16,299,1245.833333
Loc01,WS2020,3,IRGC 128071,93,126.3,7.8,22.86,51,212.5
Loc01,WS2020,3,IRGC 128090,98,113.2,8.8,23.66,351,1462.5
Loc01,WS2020,3,IRGC 128108,117,130.6,9.2,24.48,399,1662.5
Loc01,WS2020,3,IRGC 128117,97,150.58,12.4,22.02,50,208.3333333
